Time,Loco
3/16/2021 10:02,209
3/16/2021 10:12,542.8
3/16/2021 10:22,274.2
3/16/2021 10:32,279.6
3/16/2021 10:42,188
3/16/2021 10:52,97.2
3/16/2021 11:02,56.4
3/16/2021 11:12,26.4
3/16/2021 11:22,87.8
3/16/2021 11:32,37.6
3/16/2021 11:42,156.8
3/16/2021 11:52,285.4
3/16/2021 12:02,367.8
3/16/2021 12:12,264
3/16/2021 12:22,148.4
3/16/2021 12:32,30
3/16/2021 12:42,78.2
3/16/2021 12:52,79.2
3/16/2021 13:02,32.8
3/16/2021 13:12,17.6
3/16/2021 13:22,17.8
3/16/2021 13:32,32.2
3/16/2021 13:42,29
3/16/2021 13:52,26.8
3/16/2021 14:02,62.4
3/16/2021 14:12,280.6
3/16/2021 14:22,258.6
3/16/2021 14:32,269.4
3/16/2021 14:42,46.6
3/16/2021 14:52,44.6
3/16/2021 15:02,22
3/16/2021 15:12,31
3/16/2021 15:22,30.2
3/16/2021 15:32,23
3/16/2021 15:42,45.4
3/16/2021 15:52,19.6
3/16/2021 16:02,56.6
3/16/2021 16:12,104.6
3/16/2021 16:22,194.4
3/16/2021 16:32,202
3/16/2021 16:42,332.2
3/16/2021 16:52,186.4
3/16/2021 17:02,196.4
3/16/2021 17:12,126.2
3/16/2021 17:22,87.6
3/16/2021 17:32,82.6
3/16/2021 17:42,104
3/16/2021 17:52,114.8
3/16/2021 18:02,79.2
3/16/2021 18:12,122.6
3/16/2021 18:22,263.2
3/16/2021 18:32,373
3/16/2021 18:42,537.4
3/16/2021 18:52,538.2
3/16/2021 19:02,781
3/16/2021 19:12,489.2
3/16/2021 19:22,491.8
3/16/2021 19:32,437.6
3/16/2021 19:42,771.6
3/16/2021 19:52,318.4
3/16/2021 20:02,372
3/16/2021 20:12,257.8
3/16/2021 20:22,308.6
3/16/2021 20:32,442.2
3/16/2021 20:42,317.2
3/16/2021 20:52,338.4
3/16/2021 21:02,370.6
3/16/2021 21:12,443.6
3/16/2021 21:22,515.6
3/16/2021 21:32,669.2
